Bio ID,Full Name,Hall of Fame Induction Year,GP,GS,Number of Records,Total Points,Assists,Blocks,Post GP,GP,GS,Minutes,PF,Rebounds,Steals,Turnovers,D Rebounds,Fg Attempted,Fg Made,Fg Point,% Fg,Ft Attempted,Ft Made,% FT,O Rebounds,Three Attempted,Three Made,Three Points,% FT,Height,Pos,Race,Stint,Tm ID,Weight,Year,Birth Date,College,Death Date
brownle01,Leon  Brown,,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0.00%,0,0,0.00%,0,0,0,0,0.00%,75,F,W,1,CLR,190,1946,10/12/1919,Wyoming,10/14/1990
byrneto01,Thomas P. Byrnes,,60,0,1,477,35,0,5,5,5,0,92,0,0,0,0,629,186,372,29.57%,171,105,61.40%,0,0,0,0,0.00%,75,F-G,W,1,NYK,175,1946,2/19/1923,Seton Hall,1/9/1981
bytzumi01,Michael John Bytzura,,60,0,1,210,31,0,0,0,0,0,108,0,0,0,0,356,87,174,24.44%,72,36,50.00%,0,0,0,0,0.00%,73,F,W,1,PIT,170,1946,6/18/1922,LIU,1/24/1989
callato01,Thomas Francis Callahan,,13,0,1,17,4,0,0,0,0,0,9,0,0,0,0,29,6,12,20.69%,12,5,41.67%,0,0,0,0,0.00%,73,G,W,1,PRO,180,1946,6/2/1921,Rockhurst,10/3/1996
calveer01,Ernest A. Calverley,,59,0,1,845,202,0,0,0,0,0,191,0,0,0,0,1102,323,646,29.31%,283,199,70.32%,0,0,0,0,0.00%,70,G,W,1,PRO,145,1946,1/30/1924,Rhode Island,10/20/2003
carlich01,Chester Gray Carlisle,,51,0,1,312,19,0,10,10,10,0,169,0,0,0,0,461,120,240,26.03%,120,72,60.00%,0,0,0,0,0.00%,77,F-C,W,1,CHS,195,1946,11/2/1916,California,8/3/1988
carlsdo01,Donald Vernon Carlson,,59,0,1,765,65,0,11,11,11,0,213,0,0,0,0,1045,326,652,31.20%,203,113,55.67%,0,0,0,0,0.00%,72,G-F,W,1,CHS,170,1946,3/22/1919,Minnesota,10/16/2004
cluggbo01,Robert Marion Cluggish,,54,0,1,246,22,0,5,5,5,0,125,0,0,0,0,383,97,194,25.33%,93,52,55.91%,0,0,0,0,0.00%,80,C,W,1,NYK,235,1946,9/18/1917,Kentucky,9/5/2008
connoch01,Kevin Joseph Aloysius Connors,,49,0,1,227,40,0,0,0,0,0,129,0,0,0,0,380,94,188,24.74%,84,39,46.43%,0,0,0,0,0.00%,77,F-C,W,1,BOS,190,1946,4/10/1921,Seton Hall,11/10/1992
corleke01,Kenneth  Corley,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0.00%,76.5,C,W,1,CLR,210,1946,,Oklahoma St. Teachers,0000-00-00
crislha01,Harold James Crisler,,4,0,1,6,0,0,0,0,0,0,6,0,0,0,0,6,2,4,33.33%,2,2,100.00%,0,0,0,0,0.00%,75,F,W,1,BOS,215,1946,12/31/1923,Iowa State,11/2/1987
curear01,Armand Arthur Cure,,12,0,1,10,0,0,0,0,0,0,5,0,0,0,0,15,4,8,26.67%,3,2,66.67%,0,0,0,0,0.00%,72,F,W,1,PRO,198,1946,8/7/1919,Rhode Island,11/28/2003
dallmho01,Howard  Dallmar,,60,0,1,610,120,0,10,10,10,0,169,0,0,0,0,814,225,450,27.64%,243,160,65.84%,0,0,0,0,0.00%,76,F,W,1,PHW,200,1946,5/24/1922,Stanford,12/19/1991
davisau01,Aubrey D. Davis,,59,0,1,294,14,0,3,3,3,0,139,0,0,0,0,387,109,218,28.17%,118,76,64.41%,0,0,0,0,0.00%,74,G-F,W,1,STB,175,1946,3/28/1921,Oklahoma Baptist,11/23/1996
davisbi01,William F. Davis,,47,0,1,90,11,0,7,7,7,0,102,0,0,0,0,160,37,74,23.13%,46,16,34.78%,0,0,0,0,0.00%,75,F,W,1,CHS,215,1946,10/3/1921,Notre Dame,0000-00-00
dehnehe01,Henry G. Dehnert,,10,0,1,14,0,0,0,0,0,0,8,0,0,0,0,15,6,12,40.00%,6,2,33.33%,0,0,0,0,0.00%,74.5,F,W,1,PRO,175,1946,,Columbia,0000-00-00
dillebo01,Robert Orville Dille,,57,0,1,296,40,0,0,0,0,0,92,0,0,0,0,563,111,222,19.72%,111,74,66.67%,0,0,0,0,0.00%,75,F,W,1,DTF,190,1946,7/2/1917,Valparaiso,12/10/1998
dollbo01,Robert W. Doll,,60,0,1,542,22,0,3,3,3,0,178,0,0,0,0,807,200,400,24.78%,218,142,65.14%,0,0,0,0,0.00%,76.5,F-C,W,1,STB,195,1946,8/10/1919,Colorado,9/18/1959
duffybo01,Robert John Duffy,,11,0,1,11,0,0,0,0,0,0,13,0,0,0,0,25,5,10,20.00%,3,1,33.33%,0,0,0,0,0.00%,76,F,W,1,CHS,175,1946,7/5/1922,Tulane,0000-00-00
duffybo01,Robert John Duffy,,6,0,1,8,0,0,0,0,0,0,4,0,0,0,0,7,2,4,28.57%,4,4,100.00%,0,0,0,0,0.00%,76,F,W,2,BOS,175,1946,7/5/1922,Tulane,0000-00-00
eliasdo01,Donald Carlton Eliason,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.00%,0,0,0.00%,0,0,0,0,0.00%,74,F,W,1,BOS,210,1946,7/24/1918,Hamline,8/18/2003
endrene01,Ned R. Endress,,16,0,1,14,4,0,0,0,0,0,13,0,0,0,0,25,3,6,12.00%,15,8,53.33%,0,0,0,0,0.00%,74,F-G-C,W,1,CLR,200,1946,3/2/1918,Akron,6/19/2010
fabeljo01,Joseph  Fabel,,30,0,1,63,2,0,0,0,0,0,64,0,0,0,0,96,25,50,26.04%,26,13,50.00%,0,0,0,0,0.00%,73,F-G,W,1,PIT,190,1946,9/4/1913,Pittsburgh,1/31/1967
faughbo01,Robert Edward Faught,,51,0,1,368,34,0,3,3,3,0,107,0,0,0,0,510,152,304,29.80%,109,64,58.72%,0,0,0,0,0.00%,76,F,W,1,CLR,180,1946,9/2/1921,Notre Dame,4/23/2002
feeribo01,Robert Joseph Feerick,,55,0,1,1016,75,0,6,6,6,0,164,0,0,0,0,1018,399,798,39.19%,287,218,75.96%,0,0,0,0,0.00%,75,F-G,W,1,WSC,190,1946,1/2/1920,Santa Clara,6/8/1976
fenlewa01,William Warren Fenley,,33,0,1,85,16,0,0,0,0,0,59,0,0,0,0,138,31,62,22.46%,45,23,51.11%,0,0,0,0,0.00%,75,F,W,1,BOS,190,1946,2/8/1922,Manhattan,1/18/2009
fitzgbo01,Robert  Fitzgerald,,31,0,1,139,26,0,0,0,0,0,86,0,0,0,0,241,47,94,19.50%,70,45,64.29%,0,0,0,0,0.00%,77,F-C,W,1,TRH,190,1946,3/14/1923,Fordham,0000-00-00
fitzgbo01,Robert  Fitzgerald,,29,0,1,87,10,0,5,5,5,0,70,0,0,0,0,130,24,48,18.46%,64,39,60.94%,0,0,0,0,0.00%,77,F-C,W,2,NYK,190,1946,3/14/1923,Fordham,0000-00-00
fitzgdi01,Richard  Fitzgerald,,60,0,1,277,40,0,0,0,0,0,89,0,0,0,0,495,118,236,23.84%,60,41,68.33%,0,0,0,0,0.00%,74,F,W,1,TRH,175,1946,11/18/1920,Seton Hall,4/13/1968
fleisje01,Jerome  Fleishman,,59,0,1,320,43,0,9,9,9,0,121,0,0,0,0,442,119,238,26.92%,145,82,56.55%,0,0,0,0,0.00%,74,G-F,W,1,PHW,190,1946,2/14/1922,NYU,6/20/2007
frankna01,Nathan  Frankel,,6,0,1,16,3,0,0,0,0,0,6,0,0,0,0,27,4,8,14.81%,12,8,66.67%,0,0,0,0,0.00%,72,F-G,W,1,PIT,195,1946,11/3/1913,Brooklyn,3/14/2006
freyfr01,Frido  Frey,,23,0,1,98,21,0,5,5,5,0,48,0,0,0,0,116,31,62,26.72%,67,36,53.73%,0,0,0,0,0.00%,74,F,W,1,NYK,195,1946,10/26/1921,LIU,5/16/2000
fucarfr01,Frank A. Fucarino,,28,0,1,140,7,0,0,0,0,0,38,0,0,0,0,198,53,106,26.77%,60,34,56.67%,0,0,0,0,0.00%,74,F,W,1,TRH,175,1946,7/24/1920,LIU,0000-00-00
fulksjo01,Joseph Franklin Fulks,1978,60,0,1,1611,28,0,10,10,10,0,231,0,0,0,0,1814,549,1098,30.26%,695,513,73.81%,0,0,0,0,0.00%,77,F-C,W,1,PHW,190,1946,10/26/1921,Murray State,3/21/1976
ganttbo01,Robert M. Gantt,,23,0,1,73,5,0,2,2,2,0,45,0,0,0,0,92,30,60,32.61%,29,13,44.83%,0,0,0,0,0.00%,76,F-C,W,1,WSC,205,1946,6/22/1922,Duke,10/25/1994
garfija01,Jack  Garfinkel,,40,0,1,179,58,0,0,0,0,0,62,0,0,0,0,304,81,162,26.64%,28,17,60.71%,0,0,0,0,0.00%,72,G,W,1,BOS,190,1946,6/13/1918,St. John's (NY),0000-00-00
getchgo01,Charles Gorham Getchell,,16,0,1,5,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0.00%,5,5,100.00%,0,0,0,0,0.00%,76,C,W,1,PIT,205,1946,8/14/1920,Temple,7/7/1980
gillege01,Gene  Gillette,,14,0,1,8,2,0,0,0,0,0,13,0,0,0,0,11,1,2,9.09%,9,6,66.67%,0,0,0,0,0.00%,74,F,W,1,WSC,205,1946,,St. Mary's (CA),0000-00-00
gilmuch01,Charles E. Gilmur,,51,0,1,242,22,0,11,11,11,0,184,0,0,0,0,367,105,210,28.61%,79,32,40.51%,0,0,0,0,0.00%,76,F-C,W,1,CHS,225,1946,8/13/1922,Washington,1/13/2011
goldfbe01,Benjamin Paul Goldfaden,,2,0,1,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0.00%,4,2,50.00%,0,0,0,0,0.00%,73,F,W,1,WSC,185,1946,9/6/1913,George Washington,0000-00-00
goodwpo01,Wilfred R. Goodwin,,55,0,1,256,15,0,0,0,0,0,94,0,0,0,0,348,98,196,28.16%,75,60,80.00%,0,0,0,0,0.00%,74,F-C,W,1,PRO,203,1946,12/22/1920,none,5/17/2005
gottlle01,Leo  Gottlieb,,57,0,1,358,25,0,4,4,4,0,77,0,0,0,0,533,159,318,29.83%,61,40,65.57%,0,0,0,0,0.00%,71,G,W,1,NYK,180,1946,11/28/1920,none,0000-00-00
graywy01,Wyndol Woodrow Gray,,55,0,1,350,47,0,0,0,0,0,105,0,0,0,0,476,139,278,29.20%,124,72,58.06%,0,0,0,0,0.00%,73,G-F,W,1,BOS,175,1946,3/20/1922,Bowling Green,1/30/1994
grimswo01,George W. Grimshaw,,21,0,1,61,1,0,0,0,0,0,25,0,0,0,0,56,20,40,35.71%,44,21,47.73%,0,0,0,0,0.00%,73,G,W,1,PRO,185,1946,9/24/1919,Brown,0000-00-00
gunthco01,Coulby  Gunther,,52,0,1,734,32,0,0,0,0,0,117,0,0,0,0,756,254,508,33.60%,351,226,64.39%,0,0,0,0,0.00%,76,F,W,1,PIT,190,1946,2/5/1923,St. John's (NY),7/14/2005
guokama01,Matthew George Guokas,,47,0,1,86,9,0,8,8,8,0,81,0,0,0,0,113,29,58,25.66%,52,28,53.85%,0,0,0,0,0.00%,75,F,W,1,PHW,195,1946,11/11/1915,St. Joseph's (PA),12/9/1993
halbech01,Charles P. Halbert,,61,0,1,928,49,0,11,11,11,0,193,0,0,0,0,1113,330,660,29.65%,447,268,59.96%,0,0,0,0,0.00%,81,C,W,1,CHS,225,1946,2/27/1919,West Texas State,0000-00-00
hankice01,Cecil O. Hankins,,55,0,1,329,14,0,2,2,2,0,50,0,0,0,0,398,119,238,29.90%,152,91,59.87%,0,0,0,0,0.00%,73,G,W,1,STB,175,1946,1/6/1922,Oklahoma A&M,6/3/2002
hermskl01,Clarence Henry Hermsen,,11,0,1,43,10,0,0,0,0,0,32,0,0,0,0,67,18,36,26.87%,15,7,46.67%,0,0,0,0,0.00%,80.5,C-F,W,1,CLR,225,1946,3/12/1923,Minnesota,3/2/1994
hermskl01,Clarence Henry Hermsen,,21,0,1,254,15,0,0,0,0,0,54,0,0,0,0,327,95,190,29.05%,97,64,65.98%,0,0,0,0,0.00%,80.5,C-F,W,2,TRH,225,1946,3/12/1923,Minnesota,3/2/1994
hertzso01,Sidney  Hertzberg,,59,0,1,551,42,0,5,5,5,0,123,0,0,0,0,764,216,432,28.27%,157,119,75.80%,0,0,0,0,0.00%,70,G,W,1,NYK,175,1946,7/29/1922,CCNY,7/25/2005
hillhar01,Arthur Sherwood Hillhouse,,60,0,1,447,49,0,10,10,10,0,180,0,0,0,0,503,144,288,28.63%,212,159,75.00%,0,0,0,0,0.00%,79,C,W,1,PHW,220,1946,6/12/1916,LIU,10/27/1980
hirscme01,Melvin M. Hirsch,,13,0,1,19,10,0,0,0,0,0,18,0,0,0,0,45,9,18,20.00%,2,1,50.00%,0,0,0,0,0.00%,66,G,W,1,BOS,165,1946,7/31/1921,Brooklyn,0000-00-00
hoefech01,Adolph Charles Hoefer,,23,0,1,140,9,0,0,0,0,0,61,0,0,0,0,198,54,108,27.27%,46,32,69.57%,0,0,0,0,0.00%,69,G,W,1,TRH,158,1946,7/12/1917,Queens,0000-00-00
hoefech01,Adolph Charles Hoefer,,35,0,1,211,24,0,0,0,0,0,81,0,0,0,0,316,76,152,24.05%,93,59,63.44%,0,0,0,0,0.00%,69,G,W,2,BOS,158,1946,7/12/1917,Queens,0000-00-00
hurlero01,Roy Leonard Hurley,,46,0,1,239,34,0,0,0,0,0,85,0,0,0,0,447,100,200,22.37%,64,39,60.94%,0,0,0,0,0.00%,74,F-G,W,1,TRH,170,1946,8/12/1922,Murray State,10/14/1993
jacobfr01,Winfred O. Jacobs,,18,0,1,50,5,0,0,0,0,0,25,0,0,0,0,69,19,38,27.54%,25,12,48.00%,0,0,0,0,0.00%,75,F,W,1,STB,175,1946,12/2/1922,Denver,10/19/2008
janisjo01,John Albert Janisch,,60,0,1,697,49,0,0,0,0,0,132,0,0,0,0,983,283,566,28.79%,198,131,66.16%,0,0,0,0,0.00%,75,F-G,W,1,DTF,200,1946,3/15/1920,Valparaiso,8/25/1992
jarosto01,Anthony Joseph Jaros,,59,0,1,584,32,0,11,11,11,0,188,0,0,0,0,764,217,434,28.40%,212,150,70.75%,0,0,0,0,0.00%,75,F-G,W,1,CHS,180,1946,2/21/1920,Minnesota,4/22/1995
johnsha01,Harold H. Johnson,,27,0,1,15,11,0,0,0,0,0,13,0,0,0,0,20,4,8,20.00%,14,7,50.00%,0,0,0,0,0.00%,78,C,W,1,DTF,240,1946,1/30/1920,Indiana State,9/17/1999
jorgeno01,Noble Gordon Jorgensen,,15,0,1,66,4,0,0,0,0,0,40,0,0,0,0,112,25,50,22.32%,25,16,64.00%,0,0,0,0,0.00%,81,C,W,1,PIT,228,1946,5/18/1925,Iowa,11/2/1982
jorgero01,Roger Kennedy Jorgensen,,28,0,1,41,1,0,0,0,0,0,36,0,0,0,0,54,14,28,25.93%,19,13,68.42%,0,0,0,0,0.00%,77,C-F,W,1,PIT,200,1946,9/2/1920,Ohio State,10/3/2010
kaplora01,Ralph  Kaplowitz,,27,0,1,194,25,0,0,0,0,0,57,0,0,0,0,274,71,142,25.91%,71,52,73.24%,0,0,0,0,0.00%,74,G-F,W,1,NYK,170,1946,5/18/1919,NYU,2/2/2009
kaplora01,Ralph  Kaplowitz,,30,0,1,275,19,0,10,10,10,0,90,0,0,0,0,356,97,194,27.25%,107,81,75.70%,0,0,0,0,0.00%,74,G-F,W,2,PHW,170,1946,5/18/1919,NYU,2/2/2009
kappeto01,Anthony George Kappen,,41,0,1,310,22,0,0,0,0,0,61,0,0,0,0,446,103,206,23.09%,123,104,84.55%,0,0,0,0,0.00%,70,G,W,1,PIT,165,1946,4/13/1919,none,12/18/1993
kappeto01,Anthony George Kappen,,18,0,1,74,6,0,0,0,0,0,17,0,0,0,0,91,25,50,27.47%,38,24,63.16%,0,0,0,0,0.00%,70,G,W,2,BOS,165,1946,4/13/1919,none,12/18/1993
kasided01,Edward John Kasid,,8,0,1,12,6,0,0,0,0,0,8,0,0,0,0,21,6,12,28.57%,6,0,0.00%,0,0,0,0,0.00%,71,G,W,1,TRH,185,1946,8/13/1923,none,11/3/1989
kautzwi01,Wilbert  Kautz,,50,0,1,275,37,0,9,9,9,0,128,0,0,0,0,465,117,234,25.16%,79,41,51.90%,0,0,0,0,0.00%,71.5,G-F,W,1,CHS,180,1946,9/7/1915,Loyola (IL),0000-00-00
kelleke01,Kenneth W. Keller,,25,0,1,22,1,0,0,0,0,0,14,0,0,0,0,30,10,20,33.33%,4,2,50.00%,0,0,0,0,0.00%,73,G,W,1,WSC,180,1946,7/30/1925,St. John's (NY),2/24/1983
kelleke01,Kenneth W. Keller,,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00%,1,0,0.00%,0,0,0,0,0.00%,73,G,W,2,PRO,180,1946,7/30/1925,St. John's (NY),2/24/1983
kellyje01,Gerard Allan Kelly,,43,0,1,256,21,0,0,0,0,0,128,0,0,0,0,313,91,182,29.07%,111,74,66.67%,0,0,0,0,0.00%,74,F,W,1,BOS,172,1946,6/14/1918,John Marshall,7/23/1996
kingto01,Thomas Van Dyke King,,58,0,1,295,32,0,0,0,0,0,102,0,0,0,0,410,97,194,23.66%,160,101,63.13%,0,0,0,0,0.00%,72,G,W,1,DTF,165,1946,3/9/1924,Michigan,0000-00-00
knorele01,Leonard J. Knorek,,22,0,1,224,29,0,5,5,5,0,86,0,0,0,0,277,83,166,29.96%,91,58,63.74%,0,0,0,0,0.00%,79,C,W,1,NYK,215,1946,7/15/1921,Detroit,7/22/2003
kottmha01,Harold W. Kottman,,53,0,1,165,17,0,0,0,0,0,58,0,0,0,0,188,59,118,31.38%,101,47,46.53%,0,0,0,0,0.00%,79,C,W,1,BOS,220,1946,8/22/1922,Culver Stockton,11/30/2004
lalicpe01,Peter Todd Lalich,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.00%,0,0,0.00%,0,0,0,0,0.00%,74,F,W,1,CLR,190,1946,6/23/1920,Ohio University,2/1/2008
lefkoha01,Henry A. Lefkowitz,,24,0,1,60,4,0,2,2,2,0,39,0,0,0,0,132,26,52,19.70%,14,8,57.14%,0,0,0,0,0.00%,74,F,W,1,CLR,190,1946,8/31/1923,Western Reserve,4/21/2007
lewisgr01,Grady W. Lewis,,60,0,1,287,54,0,0,0,0,0,166,0,0,0,0,520,106,212,20.38%,138,75,54.35%,0,0,0,0,0.00%,79,F-C,W,1,DTF,215,1946,3/25/1917,Oklahoma,3/11/2009
loganjo01,John Arnold Logan,,61,0,1,801,81,0,3,3,3,0,143,0,0,0,0,1088,300,600,27.57%,269,201,74.72%,0,0,0,0,0.00%,74,G,W,1,STB,175,1946,1/1/1921,Indiana,9/2/1977
lujacal01,Aloysius R. Lujack,,5,0,1,4,0,0,0,0,0,0,6,0,0,0,0,8,1,2,12.50%,5,2,40.00%,0,0,0,0,0.00%,75,F,W,1,WSC,220,1946,10/5/1920,Georgetown,12/26/2002
mahnkjo01,John E. Mahnken,,60,0,1,619,61,0,6,6,6,0,206,0,0,0,0,972,246,492,25.31%,182,127,69.78%,0,0,0,0,0.00%,80,C,W,1,WSC,220,1946,6/16/1922,Georgetown,12/14/2000
mangifr01,Francis E. Mangiapane,,6,0,1,5,0,0,0,0,0,0,6,0,0,0,0,13,2,4,15.38%,3,1,33.33%,0,0,0,0,0.00%,70,G,W,1,NYK,195,1946,8/21/1925,NYU,7/31/2005
maravpr01,Peter  Maravich,,51,0,1,234,6,0,0,0,0,0,102,0,0,0,0,375,102,204,27.20%,58,30,51.72%,0,0,0,0,0.00%,72,G,W,1,PIT,185,1946,8/20/1920,Davis & Elkins,4/15/1987
martidi01,Donald E. Martin,,60,0,1,733,59,0,0,0,0,0,98,0,0,0,0,1022,311,622,30.43%,168,111,66.07%,0,0,0,0,0.00%,68,G,W,1,PRO,160,1946,5/25/1920,Georgetown,0000-00-00
martido01,James Donald Martin,,54,0,1,201,10,0,3,3,3,0,85,0,0,0,0,340,93,186,27.35%,33,15,45.45%,0,0,0,0,0.00%,79,C-F,W,1,STB,210,1946,2/7/1920,Central Missouri,9/30/1997
maughar01,Ariel Leishman Maughan,,59,0,1,532,57,0,0,0,0,0,180,0,0,0,0,929,224,448,24.11%,114,84,73.68%,0,0,0,0,0.00%,76,F,W,1,DTF,190,1946,4/26/1923,Utah State,8/4/1997
mccarho01,Howard T. McCarty,,19,0,1,21,2,0,0,0,0,0,22,0,0,0,0,82,10,20,12.20%,10,1,10.00%,0,0,0,0,0.00%,74,F-G,W,1,DTF,190,1946,,Wayne State (MI),0000-00-00
mccarmi01,Michael  McCarron,,60,0,1,649,59,0,0,0,0,0,184,0,0,0,0,838,236,472,28.16%,288,177,61.46%,0,0,0,0,0.00%,71,G,W,1,TRH,175,1946,3/2/1922,Seton Hall,10/2/1991
mckinho01,Horace Albert McKinney,,58,0,1,753,72,0,6,6,6,0,179,0,0,0,0,1072,293,586,27.33%,244,167,68.44%,0,0,0,0,0.00%,78,F-C,W,1,WSC,185,1946,1/1/1919,North Carolina,5/16/1997
mearnge01,George  Mearns,,57,0,1,382,35,0,0,0,0,0,137,0,0,0,0,478,128,256,26.78%,175,126,72.00%,0,0,0,0,0.00%,75,F,W,1,PRO,175,1946,4/18/1922,Rhode Island,12/27/1997
melvied01,Edward M. Melvin,,57,0,1,281,37,0,0,0,0,0,150,0,0,0,0,376,99,198,26.33%,127,83,65.35%,0,0,0,0,0.00%,69,G,W,1,PIT,170,1946,2/13/1916,Duquesne,7/30/2004
miasest01,Stanley  Miasek,,60,0,1,895,93,0,0,0,0,0,208,0,0,0,0,1154,331,662,28.68%,385,233,60.52%,0,0,0,0,0.00%,77,C-F,W,1,DTF,205,1946,8/8/1924,none,10/18/1989
mihalre01,Zigmund John Mihalik,,7,0,1,6,0,0,0,0,0,0,10,0,0,0,0,9,3,6,33.33%,0,0,0.00%,0,0,0,0,0.00%,72,G,W,1,PIT,180,1946,9/22/1916,none,9/25/1996
militna01,Nathan  Militzok,,36,0,1,144,28,0,0,0,0,0,91,0,0,0,0,214,52,104,24.30%,73,40,54.79%,0,0,0,0,0.00%,75,F,W,1,NYK,195,1946,5/3/1923,Cornell,5/14/2009
militna01,Nathan  Militzok,,21,0,1,100,14,0,0,0,0,0,29,0,0,0,0,129,38,76,29.46%,39,24,61.54%,0,0,0,0,0.00%,75,F,W,2,TRH,195,1946,5/3/1923,Cornell,5/14/2009
milleha01,Harry David Miller,,53,0,1,152,42,0,0,0,0,0,119,0,0,0,0,260,58,116,22.31%,82,36,43.90%,0,0,0,0,0.00%,76,C-F,W,1,TRH,210,1946,7/28/1923,North Carolina,4/18/2007
millewa01,Walter P. Miller,,12,0,1,23,6,0,0,0,0,0,16,0,0,0,0,21,7,14,33.33%,18,9,50.00%,0,0,0,0,0.00%,74,F,W,1,PIT,190,1946,7/30/1915,Duquesne,1/21/2001
millsjo01,John  Mills,,47,0,1,181,9,0,0,0,0,0,94,0,0,0,0,187,55,110,29.41%,129,71,55.04%,0,0,0,0,0.00%,80,C-F,W,1,PIT,203,1946,9/7/1919,Western Kentucky,8/25/1995
mogusle01,Leo  Mogus,,17,0,1,209,28,0,0,0,0,0,50,0,0,0,0,226,73,146,32.30%,88,63,71.59%,0,0,0,0,0.00%,76,F-C,W,1,CLR,190,1946,4/13/1921,Youngstown State,0000-00-00
mogusle01,Leo  Mogus,,41,0,1,544,56,0,0,0,0,0,126,0,0,0,0,653,186,372,28.48%,237,172,72.57%,0,0,0,0,0.00%,76,F-C,W,2,TRH,190,1946,4/13/1921,Youngstown State,0000-00-00
morgeel01,Elmore Robert Morgenthaler,,11,0,1,15,3,0,0,0,0,0,3,0,0,0,0,13,4,8,30.77%,12,7,58.33%,0,0,0,0,0.00%,81,C,W,1,PRO,230,1946,8/3/1922,New Mexico Mines,11/25/1997
