bioID,Full Name,pos,height,weight,college,birthDate,deathDate,race
allrela01,Lance Collin Allred,C,83,250,Weber State,2/2/1981,0000-00-00,W
allumda01,Darrell Wilbert Allums,F,80.5,220,UCLA,9/12/1958,0000-00-00,B
almonmo01,Morris  Almond,G,78,215,Rice,2/2/1985,0000-00-00,B
alstode01,Derrick Samuel Alston,F,83,225,Duquesne,8/20/1972,0000-00-00,B
alstora01,Rafer Jamel Alston,G,74,171,Fresno State,7/24/1976,0000-00-00,B
alumape01,Peter  Aluma,C,82,260,Liberty,4/23/1973,0000-00-00,B
amaecjo01,John Ekwugha Amaechi,C-F,81,270,Penn State,11/26/1970,0000-00-00,B
amayaas01,Ashraf  Amaya,F,79,230,Southern Illinois,11/23/1971,0000-00-00,B
aminual01,Al-Farouq  Aminu,F,81,215,Wake Forest,9/21/1990,0000-00-00,B
amundlo01,Louis Gabriel Amundson,F,81,225,UNLV,12/7/1982,0000-00-00,W
anderal01,Alan Jeffery Anderson,G-F,78,220,Michigan State,10/16/1982,0000-00-00,B
anderch01,Chris  Andersen,F-C,82,220,Blinn CC,7/7/1978,0000-00-00,W
anderda02,Daniel Edward Anderson,G,74,185,USC,1/1/1951,0000-00-00,W
anderde01,Derek Lamont Anderson,G,76,194,Kentucky,7/18/1974,0000-00-00,B
anderdw01,Dwight Anthony Anderson,G,75,175,USC,12/28/1960,0000-00-00,B
anderer01,Eric Walfred Anderson,F,81,220,Indiana,5/26/1970,0000-00-00,W
anderja01,James Lee Anderson,G,78,215,Oklahoma State,3/25/1989,0000-00-00,B
anderje01,Jerome  Anderson,G,77,195,West Virginia,10/9/1953,8/1/2009,B
andermi01,Michael Levin Anderson,G,71,184,Drexel,3/23/1966,0000-00-00,B
anderri01,Richard Andrew Anderson,F-C,82,240,Cal. St.-Santa Barbara,11/19/1960,0000-00-00,W
andersh01,Shandon Rodriguez Anderson,F-G,78,208,Georgia,12/31/1973,0000-00-00,B
anderwi01,Willie Lloyd Anderson,G-F,79,190,Georgia,1/8/1967,0000-00-00,B
andrima01,Martynas  Andriuskevicius,C,86,240,none,3/12/1986,0000-00-00,W
anslemi01,Michael Antonio Ansley,F,79,225,Alabama,2/8/1967,0000-00-00,B
anthoca01,Carmelo Kyam Anthony,F,80,220,Syracuse,5/29/1984,0000-00-00,B
araujra01,Rafael Paulo Araujo,C,83,290,Brigham Young,8/12/1980,0000-00-00,W
arcenst01,Stacey  Arceneaux,F,76,210,Iowa State (dnp) ?,2/17/1936,0000-00-00,B
archiro01,Robert Michael Archibald,F,83,250,Illinois,3/29/1980,0000-00-00,W
arenagi01,Gilbert Jay Arenas,G,75,191,Arizona ,1/6/1982,0000-00-00,B
arizatr01,Trevor Anthony Ariza,F,79,194,UCLA,6/30/1985,0000-00-00,B
arizipa01,Paul Joseph Arizin,F-G,74,190,Villanova,4/9/1928,12/12/2006,W
armstbr01,Brandon Simone Armstrong,G,77,185,Pepperdine,6/16/1980,0000-00-00,B
armstda01,Darrell Eugene Armstrong,G,72,169,Fayetteville State,6/22/1968,0000-00-00,B
armsthi01,Hilton A. Armstrong,F-C,83,235,Connecticut,11/11/1984,0000-00-00,B
arnetja01,Jay Hoyland Arnette,G,74,175,Texas,12/19/1938,0000-00-00,W
arthujo01,John Charles Arthurs,G,76,185,Tulane,8/15/1947,0000-00-00,W
asikom01,Omer Faruk Asik,C-F,84,255,none,7/4/1986,0000-00-00,W
askewvi01,Vincent Jerome Askew,G-F,77,210,Memphis State,2/28/1966,0000-00-00,B
askinke01,Keith Bernard Askins,G-F,79,197,Alabama,12/15/1967,0000-00-00,B
augmost01,Stacey Orlando Augmon,G-F,78,205,UNLV,8/1/1968,0000-00-00,B
augusja01,James Dale Augustine,F,82,235,Illinois,2/27/1984,0000-00-00,W
austiis01,Isaac Edward Austin,F-C,82,255,Arizona State,8/18/1969,0000-00-00,B
austike01,Ken  Austin,F,81,200,Rice,7/15/1961,0000-00-00,B
aventan01,Anthony  Avent,F,81,235,Seton Hall,10/18/1969,0000-00-00,B
averywi01,William  Avery,G,74,180,Duke,8/8/1979,0000-00-00,B
awtrede01,Dennis Wade Awtrey,C,82,235,Santa Clara,2/22/1948,0000-00-00,W
azubuke01,Kelenna David Azubuike,G,77,220,Kentucky,12/16/1983,0000-00-00,B
babbilu01,Luke Robert Babbitt,F,81,225,Nevada-Reno,6/20/1989,0000-00-00,W
babicmi01,Milos  Babic,C-F,84,240,Tennessee Tech,11/23/1968,0000-00-00,W
bagarda01,Dalibor  Bagaric,C,85,255,none,2/7/1980,0000-00-00,W
baglejo01,John Edward Bagley,G,72,185,Boston College,4/23/1960,0000-00-00,B
baileca01,Carl  Bailey,C,84,210,Tuskegee,4/23/1958,0000-00-00,B
baileja01,James L. Bailey,F-C,81,220,Rutgers,5/21/1957,0000-00-00,B
baileth01,Thurl Lee Bailey,F-C,83,215,North Carolina State,4/7/1961,0000-00-00,B
bakerji01,Jimmie  Baker,F,81,220,Hawaii,12/25/1953,0000-00-00,B
bakerla01,LaMark Anthony Baker,G,73,175,Ohio State,11/11/1969,0000-00-00,B
bakerma01,Maurice  Baker,G,73,175,Oklahoma State,7/28/1979,0000-00-00,B
balkmre01,Renaldo  Balkman,F,80,208,South Carolina,7/14/1984,0000-00-00,B
ballce01,Cedric Glenn Ball,F,80,210,UNC-Charlotte,4/16/1968,0000-00-00,B
baltihe01,Herschel David Baltimore,F,76,195,Penn State,6/21/1921,1/1/1968,W
bankswa01,Walker Burrell Banks,C,82,205,Western Kentucky,8/26/1947,0000-00-00,B
barbejo01,John  Barber,F,78,210,Los Angeles State,6/27/1927,0000-00-00,B
barbole01,Leandro Mateus Barbosa,G,75,176,none,11/28/1982,0000-00-00,B
bargnan01,Andrea  Bargnani,F,84,225,none,10/26/1985,0000-00-00,W
barklch01,Charles Wade Barkley,F,77,250,Auburn,2/20/1963,0000-00-00,B
barkler01,Erick  Barkley,G,73,177,St. John's (NY),2/21/1978,0000-00-00,B
barneha01,Harry J. Barnes,F,75,205,Northeastern,7/25/1945,0000-00-00,B
barnema01,Marvin Jerome Barnes,F-C,80,210,Providence,7/27/1952,0000-00-00,B
barnema02,Matt Kelly Barnes,F,79,235,UCLA,3/9/1980,0000-00-00,B
barnhjo01,John Anthony Barnhill,G,73,170,Tennessee State,3/20/1938,0000-00-00,B
barnhno01,Norton  Barnhill,G,76,205,Washington State,7/15/1953,0000-00-00,B
barrean01,Andre Rashawd Barrett,G,70,172,Seton Hall,2/21/1982,0000-00-00,B
barreer01,Ernie Drew Barrett,G-F,75,180,Kansas State,8/27/1929,0000-00-00,W
barroda01,Dana Bruce Barros,G,71,163,Boston College,4/13/1967,0000-00-00,B
barroea01,Earl Daniel Barron,C,84,245,Memphis,8/14/1981,0000-00-00,B
barrybr01,Brent Robert Barry,G,78,185,Oregon State,12/31/1971,0000-00-00,W
barrydr01,Drew William Barry,G,77,190,Georgia Tech,2/17/1973,0000-00-00,W
barryjo01,Jon Alan Barry,G,76,195,Georgia Tech,7/25/1969,0000-00-00,W
baskeje01,Jerry W. Baskerville,F,79,190,Temple,11/10/1951,0000-00-00,B
bassbr01,Brandon Sam Bass,F,80,240,Louisiana State,4/30/1985,0000-00-00,B
bastoma01,Maceo Demond Baston,F,81,215,Michigan ,5/29/1975,0000-00-00,B
bateeme01,Mengke  Bateer,C,83,290,none,11/20/1975,0000-00-00,O
battish01,Shane Courtney Battier,G-F,80,220,Duke,9/9/1978,0000-00-00,B
battljo01,John Sidney Battle,G,74,175,Rutgers,11/9/1962,0000-00-00,B
battsll01,Lloyd  Batts,G-F,76,185,Cincinnati,5/9/1951,0000-00-00,B
baxtelo01,Lonny Leroy Baxter,F,79,260,Maryland,7/27/1979,0000-00-00,B
bayloel01,Elgin Gay Baylor,F,77,225,Seattle,9/16/1934,0000-00-00,B
bayneho01,Howard Edgar Bayne,F,78,235,Tennessee,7/28/1942,0000-00-00,W
bazarse01,Sergei Valeryanovich Bazarevich,G,74,162,State Academy of Phys Ed.,3/16/1965,0000-00-00,W
beardra01,Ralph Milton Beard,G,70,175,Kentucky,12/2/1927,11/29/2007,W
beaslje01,Jerome  Beasley,F,81,237,North Dakota,5/17/1980,0000-00-00,B
beasljo01,John Michael Beasley,F-C,81,225,Texas A&M,2/5/1944,0000-00-00,W
beatyze01,Zelmo  Beaty,C,81,225,Prairie View A&M,10/25/1939,0000-00-00,B
beckco01,Corey Laveon Beck,G,73,190,Arkansas,5/27/1971,0000-00-00,B
bedfowi01,William  Bedford,C,84,225,Memphis State,12/14/1963,0000-00-00,B
behnkel01,Elmer H. Behnke,C,79,210,Bradley,2/3/1929,0000-00-00,W
bellch01,Charlie Will Bell,G,75,200,Michigan State,3/12/1979,0000-00-00,B
bellde01,Dennis R. Bell,F,77,185,Drake,6/2/1951,0000-00-00,B
bellra01,Raja  Bell,G,77,210,Florida International,9/19/1976,0000-00-00,B
belltr01,Troy Devon Bell,G,73,180,Boston College,11/10/1980,0000-00-00,B
benbole01,Leon  Benbow,G,76,185,Jacksonville,7/23/1950,0000-00-00,B
bendejo01,Jonathan Rene Bender,F,83,198,none,1/30/1981,0000-00-00,B
benjaco01,Corey Dwight Benjamin,G,78,200,Oregon State,2/24/1978,0000-00-00,B
benneel01,Elmer James Bennett,G,72,170,Notre Dame,2/13/1970,0000-00-00,B
bennema01,Mario Marcell Bennett,F,81,220,Arizona State,8/1/1973,0000-00-00,B
bennewi01,Winston George Bennett,F,79,210,Kentucky,2/9/1965,0000-00-00,B
benoida01,David  Benoit,F,80,220,Alabama,5/9/1968,0000-00-00,B
bensoke02,Keith A. Benson,F-C,83,230,Oakland,8/13/1988,0000-00-00,B
bergega01,Gary Dean Bergen,C,80,210,Utah,7/16/1932,0000-00-00,W
berghla01,Larry Clifford Bergh,F,79.5,210,Weber State,4/2/1945,0000-00-00,W
berryri01,Ricky Alan Berry,F,80,205,San Jose State,10/6/1964,8/14/1989,B
berrywa01,Walter  Berry,F,80,215,St. John's (NY),5/14/1964,0000-00-00,B
besttr01,Travis Eric Best,G,71,182,Georgia Tech,7/12/1972,0000-00-00,B
biedran01,Andris  Biedrins,F,83,240,none,4/2/1986,0000-00-00,1
billuch01,Chauncey Ray Billups,G,75,202,Colorado,9/25/1976,0000-00-00,B
biniojo01,Joe  Binion,F,80,225,North Carolina A&T,3/26/1961,0000-00-00,B
birdje01,Jerry Lee Bird,F,78,200,Kentucky,2/2/1935,0000-00-00,W
birdla01,Larry Joe Bird,F-G,81,220,Indiana State,12/7/1956,0000-00-00,W
birdsot01,Otis Lee Birdsong,G,75,190,Houston,12/9/1955,0000-00-00,B
blabuw01,Uwe Konstantine Blab,C,85,250,Indiana,3/26/1962,0000-00-00,W
blackco01,Cory  Blackwell,F,78,210,Wisconsin,3/27/1963,0000-00-00,B
blackja01,James  Blackwell,G,72,190,Dartmouth,2/25/1968,0000-00-00,B
blackno01,Norman Augustus Black,G,77,185,St. Joseph's (PA),11/12/1957,0000-00-00,B
blackro01,Rolando Antonio Blackman,G,78,190,Kansas State,2/26/1959,0000-00-00,B
blanege01,George R. Blaney,G,73,175,Holy Cross,11/12/1939,0000-00-00,W
blankla01,Lance  Blanks,G,76,190,Texas,9/9/1966,0000-00-00,B
blantri01,Ricky Wayne Blanton,F,79,215,Louisiana State,4/21/1966,0000-00-00,W
blatcan01,Andray  Blatche,F,83,235,none,8/22/1986,0000-00-00,B
bledser01,Eric  Bledsoe,G,73,195,Kentucky,12/9/1989,0000-00-00,B
blevile01,Leon Gravette Blevins,G,74,160,Arizona,6/25/1926,0000-00-00,W
blockjo01,John William Block,F-C,81,207,USC,4/16/1944,0000-00-00,W
blounco01,Corie Kasoun Blount,F,81,240,Cincinnati,1/4/1969,0000-00-00,B
blounma01,Mark D. Blount,C,84,230,Pittsburgh,11/30/1975,0000-00-00,B
bobbito01,Tony Rachaun Bobbitt,G,76,190,Cincinnati,10/22/1979,0000-00-00,B
bobbne01,Nelson S. Bobb,G,72,170,Temple,2/25/1924,12/8/2003,W
boganke01,Keith Ramon Bogans,G,77,215,Kentucky,5/12/1980,0000-00-00,B
bogutan01,Andrew Michael Bogut,C,84,245,Utah,11/28/1984,0000-00-00,W
bohanet01,Etdrick  Bohannon,F,81,220,Auburn-Montgomery,5/29/1973,0000-00-00,B
bolma01,Manute  Bol,C,90,200,Bridgeport,10/16/1962,6/19/2010,B
bondwa01,Walter  Bond,G,77,200,Minnesota,2/1/1969,0000-00-00,B
boneyde01,Dexter Lyndell Boney,G,76,185,UNLV,4/27/1970,0000-00-00,B
bonnean01,Anthony  Bonner,F,80,215,St. Louis,6/8/1968,0000-00-00,B
bonsage01,George H. Bon Salle,F,80,220,Illinois,7/1/1935,0000-00-00,W
bookeme01,Melvin Jermaine Booker,G,73,185,Missouri,8/20/1972,0000-00-00,B
booketr01,Trevor Fitzgerald Booker,F,80,240,Clemson,11/25/1987,0000-00-00,B
boothca01,Calvin Lawrence Booth,C,83,230,Penn State,5/7/1976,0000-00-00,B
boothke01,Keith Eugene Booth,F,77,226,Maryland,10/9/1974,0000-00-00,B
boozeca01,Carlos Austin Boozer,F-C,80,258,Duke,11/20/1981,0000-00-00,B
borchcu01,Curtis Alan Borchardt,C,84,240,Stanford,9/13/1980,0000-00-00,W
boumtru01,Ruben Bertrand Boumtje-Boumtje,C,84,245,Georgetown,5/20/1978,0000-00-00,B
bowenbr01,Bruce  Bowen,F-G,79,185,Cal. State-Fullerton,6/14/1971,0000-00-00,B
bowenry01,Ryan Cleo Bowen,F,79,213,Iowa,11/20/1975,0000-00-00,W
bowiean01,Anthony Lee Bowie,G-F,78,190,Oklahoma,11/9/1963,0000-00-00,B
bowlior01,Orbie Lee Bowling,C,82,215,Tennessee,3/21/1939,0000-00-00,W
bowmair01,Ira  Bowman,G,77,195,Pennsylvania,6/11/1973,0000-00-00,B
boydde01,Dennis  Boyd,G,73,175,Detroit,5/21/1954,0000-00-00,B
boydke01,Ken  Boyd,F,77,195,Boston University,3/25/1952,0000-00-00,B
boykiea01,Earl Antoine Boykins,G,65,133,Eastern Michigan,6/2/1976,0000-00-00,B
boykoha01,Harry J. Boykoff,C,81.5,225,St. John's (NY),7/24/1922,2/20/2001,W
boynewi01,Winford Gladstone Boynes,G-F,78,185,San Francisco,5/17/1957,0000-00-00,B
bozemce01,Cedric R. Bozeman,G,78,207,UCLA,3/7/1983,0000-00-00,B
brackcr01,Craig Lee Brackins,F,82,230,Iowa State,10/9/1987,0000-00-00,B
braddga01,Gary Lee Bradds,F,80,210,Ohio State,7/26/1942,7/15/1983,W
bradlal01,Alonzo  Bradley,F,78,190,Texas Southern,10/16/1953,0000-00-00,B
bradlal02,Alex  Bradley,F,78,215,Villanova,10/30/1959,0000-00-00,B
bradlav01,Avery Antonio Bradley,G,74,180,Texas,11/26/1990,0000-00-00,B
bradlch01,Charles Warnell Bradley,G,77,215,Wyoming,5/16/1959,0000-00-00,B
bradldu01,Dudley Leroy Bradley,G-F,78,195,North Carolina,3/19/1957,0000-00-00,B
bradlmi01,Michael Thomas Bradley,F,81,225,Villanova,4/18/1979,0000-00-00,W
bradlsh01,Shawn Paul Bradley,C,89,235,Brigham Young,3/22/1972,0000-00-00,W
bradtma01,Mark Robert Bradtke,C-F,82,265,none,9/27/1968,0000-00-00,W
braggma01,Marques  Bragg,F,80,230,Providence,3/24/1970,0000-00-00,B
braggto01,Torraye  Braggs,F,79,237,Xavier (OH),5/15/1976,0000-00-00,B
brancad01,Adrian Francis Branch,F-G,79,185,Maryland,11/17/1963,0000-00-00,B
brandel01,Elton Tyron Brand,F-C,80,260,Duke,3/11/1979,0000-00-00,B
braunca01,Carl August Braun,G-F,77,180,Colgate,9/25/1927,2/10/2010,W
breweja01,Jamison Rudy Van Brewer,G,76,180,Auburn,11/19/1980,0000-00-00,B
brewero02,Ronnie   Brewer,G,79,220,Arkansas,3/20/1985,0000-00-00,B
brezepr01,Primoz  Brezec,C,85,243,none,10/2/1979,0000-00-00,W
brianfr01,Frank Sands Brian,G,73,180,Louisiana State,5/1/1923,0000-00-00,W
briskjo01,John  Brisker,F-G,77,210,Toledo,6/15/1947,0000-00-00,B
bristal01,Allan Mercer Bristow,F-G,79,210,Virginia Tech,8/23/1951,0000-00-00,W
brittda01,David  Britton,G,76,180,Texas A&M,8/29/1958,0000-00-00,B
brittty01,Tyrone  Britt,G,76,190,Johnson C. Smith,4/18/1944,0000-00-00,B
brittwa01,Wayman P. Britt,G,74,185,Michigan,8/31/1952,0000-00-00,B
brokaga01,Gary George Brokaw,G,76,178,Notre Dame,1/11/1954,0000-00-00,B
brookke01,Kevin  Brooks,F,78,200,Southwestern Louisiana,10/12/1969,0000-00-00,B
brookma01,MarShon Scitif Brooks,G-F,77,200,Providence,1/26/1989,0000-00-00,B
brooksc01,Scott William Brooks,G,71,165,California-Irvine,7/31/1965,0000-00-00,W
brownan01,Andre D. Brown,F,81,245,DePaul,5/12/1981,0000-00-00,B
brownda02,Damone Lamar Brown,F,80,200,Syracuse,6/28/1979,0000-00-00,B
brownde02,Devin  Brown,G-F,77,210,Texas-San Antonio,12/30/1978,0000-00-00,B
browner01,Ernest  Brown,C,84,244,Indian Hills CC,5/17/1979,0000-00-00,B
brownfr01,Fred  Brown,G,75,182,Iowa,8/7/1948,0000-00-00,B
brownge01,George Raff Brown,F,78,190,Wayne State (MI),10/30/1935,0000-00-00,B
brownge02,Gerald  Brown,G,76,210,Pepperdine,7/28/1975,0000-00-00,B
brownha01,Harold V. Brown,G,72,155,Evansville,10/2/1923,0000-00-00,W
brownjo01,John Young Brown,F,79,220,Missouri,12/14/1951,0000-00-00,W
brownkw01,Kwame James Brown,C-F,83,240,none,3/10/1982,0000-00-00,B
brownle01,Leon  Brown,F,75,190,Wyoming,10/12/1919,10/14/1990,W
brownle02,Lewis  Brown,C,82,225,UNLV,2/19/1955,9/14/2011,B
brownma01,Marcus James Brown,G,75,185,Murray State,4/3/1974,0000-00-00,B
brownra01,Raymond  Brown,F,80,220,Idaho,7/5/1965,0000-00-00,B
brownra02,Randy  Brown,G,74,190,New Mexico State,5/22/1968,0000-00-00,B
brownri01,Rickey Darnell Brown,C-F,82,215,Mississippi State,8/20/1958,0000-00-00,B
brownsh01,Shannon  Brown,G,76,205,Michigan State,11/29/1985,0000-00-00,B
brownti01,Tierre  Brown,G,74,189,McNeese State,6/3/1979,0000-00-00,B
brundst01,Stanley Dwayne Brundy,F,78,210,DePaul,11/13/1967,0000-00-00,B
brunkbr01,Brian J. Brunkhorst,F,77.5,208,Marquette,6/12/1945,0000-00-00,W
brunsge01,George William Bruns,G,72,160,Manhattan,8/30/1946,0000-00-00,W
brunsri01,Rick Daniel Brunson,G,76,190,Temple,6/14/1972,0000-00-00,B
bryanem01,Emmette  Bryant,G,73,175,DePaul,11/4/1938,0000-00-00,B
bryanko01,Kobe Bean Bryant,G,78,200,none,8/23/1978,0000-00-00,B
bryanma01,Mark Craig Bryant,F-C,81,245,Seton Hall,4/25/1965,0000-00-00,B
bryanwa01,Wallace Gordon Bryant,C,84,245,San Francisco,7/14/1959,0000-00-00,B
brynto01,Torgeir  Bryn,C,81,250,SW Texas State,8/8/1964,0000-00-00,W
buccige01,George P. Bucci,G,75,200,Manhattan,7/9/1953,0000-00-00,W
buckncl01,Cleveland  Buckner,F-C,81,210,Jackson State,8/17/1938,10/5/2006,B
budkowa01,Walter  Budko,F-C,77,220,Columbia,6/30/1925,0000-00-00,W
buforro01,Rodney Alan Buford,G-F,77,189,Creighton,11/2/1977,0000-00-00,B
burkmro01,Roger Allen Burkman,G,76,175,Louisville,5/22/1958,0000-00-00,W
burksal01,Alec  Burks,G,78,202,Colorado,7/20/1991,0000-00-00,B
burksan01,Antonio Cornell Burks,G,72,195,Memphis ,2/25/1980,0000-00-00,B
burleke01,Kevin  Burleson,G,75,205,Minnesota,4/9/1979,0000-00-00,B
burnsda01,David Earl Burns,G,74,180,St. Louis,7/3/1958,0000-00-00,B
burnsev01,Evers Allen Burns,F-C,80,250,Maryland,8/24/1971,0000-00-00,B
burresc01,Scott David Burrell,G-F,79,218,Connecticut,1/12/1971,0000-00-00,B
burtowi01,Willie Ricardo Burton,F-G,79,210,Minnesota,5/26/1968,0000-00-00,B
butleji01,Jimmy  Butler,G-F,79,220,Marquette,9/14/1989,0000-00-00,B
butlemi02,Mitchell Leon Butler,G-F,77,210,UCLA,12/15/1970,0000-00-00,B
butlera01,Rasual  Butler,F,79,205,LaSalle,5/23/1979,0000-00-00,B
byarsde01,Derrick JaVaughn Byars,G-F,79,220,Vanderbilt,4/25/1984,0000-00-00,B
bytzumi01,Michael John Bytzura,F,73,170,LIU,6/18/1922,1/24/1989,W
cabarza01,Zarko  Cabarkapa,F-C,83,235,none,5/21/1981,0000-00-00,W
caffeja01,Jason Andre Caffey,F,80,255,Alabama,6/12/1973,0000-00-00,B
cagemi01,Michael Jerome Cage,F-C,81,224,San Diego State,1/28/1962,0000-00-00,B
caldwad01,Adrian Bernard Caldwell,F-C,80,255,Lamar,7/4/1966,0000-00-00,B
caldwjo01,Joe Louis Caldwell,F-G,77,195,Arizona State,11/1/1941,0000-00-00,B
calipde01,Demetrius  Calip,G,73,165,Michigan,11/18/1969,0000-00-00,B
calvima01,Mack  Calvin,G,72,165,USC,7/27/1947,0000-00-00,B
cambrde01,Dexter Ryan Cambridge,F,79,224,Texas,1/29/1970,0000-00-00,B
cambyma01,Marcus D. Camby,C-F,83,220,Massachusetts,3/22/1974,0000-00-00,B
campbel01,Elden Jerome Campbell,F-C,83,215,Clemson,7/23/1968,0000-00-00,B
caracde01,Derrick  Caracter,F,81,275,UTEP,5/4/1988,0000-00-00,B
cardfr01,Frank Howard Card,F,79,195,South Carolina State,12/28/1944,0000-00-00,B
cardibr01,Brian Lee Cardinal,F,80,245,Purdue,5/2/1977,0000-00-00,W
carlige01,Geno Marcellus Carlisle,G,75,191,California,8/13/1976,0000-00-00,B
carlodo01,Don A. Carlos,G-F,76.5,210,Otterbein,3/3/1944,0000-00-00,W
carnero01,Rodney Dion Carney,F,79,205,Memphis,4/15/1984,0000-00-00,B
carran01,Antoine Labotte Carr,F-C,81,225,Wichita State,7/23/1961,0000-00-00,B
carrau01,Austin George Carr,G,76,200,Notre Dame,3/10/1948,0000-00-00,B
carrch01,Chris Dean Carr,G,77,207,Southern Illinois,3/12/1974,0000-00-00,B
carrco01,Cory Jermaine Carr,G,75,210,Texas Tech,12/5/1975,0000-00-00,B
carruji01,Jimmy Dawn Carruth,C-F,82,265,Virginia Tech,11/4/1969,0000-00-00,B
cartean01,Anthony Bernard Carter,G,73,190,Hawaii,6/16/1975,0000-00-00,B
cartege01,George  Carter,F-G,76,210,St. Bonaventure,1/10/1944,0000-00-00,B
carteho01,Howard O'Neal Carter,G,77,215,Louisiana State,10/26/1961,0000-00-00,B
cartema01,Maurice  Carter,G,77,210,Louisiana State,10/12/1976,0000-00-00,B
cartyja01,Jay J. Carty,F,79.5,220,Oregon State,7/4/1941,0000-00-00,W
cashco01,Cornelius  Cash,F,80,215,Bowling Green,3/3/1952,0000-00-00,B
cashsa01,Sam  Cash,F,80,230,California-Riverside,11/13/1950,0000-00-00,B
catchha01,Harvey Lee Catchings,C-F,81,218,Hardin-Simmons,9/2/1951,0000-00-00,B
catlete01,Terry DeWayne Catledge,F,80,220,South Alabama,8/22/1963,0000-00-00,B
catoke01,Kelvin T. Cato,C,83,255,Iowa State,8/26/1974,0000-00-00,B
causwdu01,Duane  Causwell,C,84,240,Temple,5/31/1968,0000-00-00,B
cebalce01,Cedric Z. Ceballos,F,78,190,Cal. State- Fullerton,8/2/1969,0000-00-00,B
celesjo01,John  Celestand,G,75,178,Villanova,3/6/1977,0000-00-00,B
chalmli01,Lionel  Chalmers,G,72,180,Xavier,11/10/1980,0000-00-00,B
champmi01,Mike O. Champion,F,82,230,Gonzaga,4/5/1964,0000-00-00,W
chandty01,Tyson Cleotis Chandler,F-C,84,235,none,10/2/1982,0000-00-00,B
chanejo01,John Louie Chaney,F-C-G,75,185,Louisiana State,2/29/1920,8/9/2004,W
chapmre01,Rex Everett Chapman,G,76,185,Kentucky,10/5/1967,0000-00-00,W
chapmwa01,Wayne G. Chapman,G-F,77,190,Western Kentucky,6/15/1945,0000-00-00,W
charllo01,Lorenzo Emile Charles,F,79,225,North Carolina State,11/25/1963,6/27/2011,B
cheanca01,Calbert Nathaniel Cheaney,F-G,79,209,Indiana,7/17/1971,0000-00-00,B
cheekma01,Maurice Edward Cheeks,G,73,180,West Texas State,9/8/1956,0000-00-00,B
chievde01,Derrick Joseph Chievous,F,79,195,Missouri,7/3/1967,0000-00-00,B
childch01,Chris  Childs,G,75,195,Boise State,11/20/1967,0000-00-00,B
